,Genome ID,Genome Name,gram,Organism Name,NCBI Taxon ID,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Other Typing,Culture Collection,Type Strain,Completion Date,Publication,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,RefSeq Accessions,Sequencing Centers,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosomes,Plasmids,Contigs,Genome Length,GC Content,PATRIC CDS,RefSeq CDS,Isolation Source,Isolation Source,Isolation Comments,Collection Date,Isolation Country,Geographic Location,Latitude,Longitude,Altitude,Depth,Other Environmental,Host Name,Host Gender,Host Age,Host Health,Body Sample Site,Body Sample Subsite,Other Clinical,AntiMicrobial Resistance,AntiMicrobial Resistance Evidence,Gram Stain,Cell Shape,Motility,Sporulation,Temperature Range,Optimal Temperature,Salinity,Oxygen Requirement,Habitat,Disease,Comments,Additional Metadata,Coarse Consistency,Fine Consistency,Checkm Completeness,Checkm Contamination,Genome Quality Flags,Genome Quality,Date Inserted,Date Modified
2668,1806.25,Mycobacterium tuberculosis variant microti strain Mycobacterium microti Maus IV,positive,,1806,Complete,Mycobacterium microti Maus IV,,,,,,ATCC 35782,,2021-01-25T00:00:00Z,,PRJEB40500,SAMEA7336318,GCA_904810355.1,,LR882497,,IP,,,,,1,,1,4385022,65.61625,4260,,None,Human clinical isolate,isolated from voles in the UK in the 1930's and was kindly supplied by M. J. Colston; (2) Mycobacterium microti ATCC 35782 (also designated as TMC 1608 [M,1999,Germany,Germany,,,,,,"Human, Homo sapiens",,,,,,host_health_state:diseased,Susceptible,Computational Prediction,,,,,,,,,,,"We performed whole-genome sequencing of the five following Mycobacterium microti strains: (1) Mycobacterium microti OV254, which was originally isolated from voles in the UK in the 1930's and was kindly supplied by M. J. Colston; (2) Mycobacterium microti ATCC 35782 (also designated as TMC 1608 [M.P. Prague]), which was purchased from the American Type Culture Collection; (3) Mycobacterium microti 94-2272, which was isolated in 1988 from the perfusion fluid of a 41-year-old dialysis patient and was kindly provided by L. M. Parsons; (4) Mycobacterium microti Maus III (also known as strain 6740/00), which was obtained from the collection of the National Reference Center for Mycobacteria, Forschungszentrum Borstel, Germany; and (5) Mycobacterium microti Maus IV (also known as strain 1479/99), which was obtained from the collection of the National Reference Center for Mycobacteria, Forschungszentrum Borstel, Germany. On one hand, genomic DNA of M. microti strain were prepared using the SMRTbell Template library preparation kit and sequenced at the Biomics platform of the Institut Pasteur (Paris, France) using the PacBio SMRT long-read sequencing technology (Chemistry v2.1; Sequel ICS v5.0.1; SMRT Link v5.0.1). On the other hand, genomic DNA of M. microti strains were sequenced using the Illumina paired-end short-read sequencing technology. Strains OV254, ATCC 35782, 94-2272 and Maus IV were sequenced at the Wellcome Trust Sanger Institute (Hinxton, UK) using a Genome Analyzer IIx device, while strain Maus III was sequenced at the Biomics platform of the Institut Pasteur (Paris, France) using a HiSeq 2500 device. First, Raw PacBio subreads were assembled using Canu and generated supercontigs were then organized as compared to the genome of M. bovis BCG Pasteur 1173P2 using MeDuSa. Second, Illumina read pairs were trimmed using Trimmomatic. Complete read pairs were then assembled using SPAdes and providing either raw PacBio subreads or the scaffolds of PacBio supercontigs. Illumina contigs thus generated were then compared to the PacBio scaffolds using BLASTN to correct erroneous arrangements and to fill undefined gaps. Third, Illumina read pairs were mapped against the resulting assembled genome using BWA-MEM. Variants were then called using VarScan to detect and correct sequencing errors within whole-genome assemblies.",,99.3,98.6,,,,Good,2021-02-01T08:19:46.224Z,2021-02-01T08:19:46.224Z
2673,1809.3,Mycobacterium ulcerans strain JKD8049,positive,,1809,Complete,JKD8049,,,,,,,,2021-10-26T00:00:00Z,,PRJNA771185,SAMN22253492,GCA_020616615.1,,"CP085200,CP085201",,University of Melbourne,,Oxford Nanopore,240.0x,FLYE v. 2021,1,1,2,5789332,65.41058,5720,5159,Skin,,,2004,Australia,"Australia: Point Lonsdale, Victoria",,,,,,Homo sapiens,male,,Buruli ulcer,,,,,,,,,,,,,,,,Complete genome of Mycobacterium ulcerans strain JKD8049,collected_by:Victorian Infectious Diseases Reference Laboratory,99.7,98.5,,,,Good,2021-12-24T14:43:14.568Z,2021-12-24T14:43:14.568Z
2860,2047.689,Rothia dentocariosa strain FDAARGOS_752 strain Not applicable,negative,,2047,Complete,Not applicable,,,,,,FDA:FDAARGOS_752,,2020-06-04T00:00:00Z,,PRJNA231221,SAMN11056467,GCA_013267735.1,,CP054018,,US Food and Drug Administration,,Pacbio; Illumina,1267.78x,Canu v. 1.7,1,,1,2533415,53.801647,2308,2126,Sputum,expectorated sputum,,,USA,USA:VA,,,,,,"Human, Homo sapiens",male,32Y,Cystic fibrosis,,,host_description:Not applicable,,,,,,,,,,,,,"In May 2014, the FDA and collaborators established a publicly available dAtabase for Reference Grade micrObial Sequences called FDA-ARGOS. With funding support from FDA’s Office of Counterterrorism and Emerging Threats (OCET) and DoD, the FDA-ARGOS team are initially collecting and sequencing 2000 microbes that include biothreat microorganisms, common clinical pathogens and closely related species. Currently, FDA-ARGOS microbial genomes are generated in 3 phases. Generally:  Phase 1 entails collection of a previously identified microbe and nucleic acid extraction. Phase 2, the microbial nucleic acids are sequenced and de novo assembled using Illumina and PacBio sequencing platforms at the Institute for Genome Sciences at the University of Maryland (UMD-IGS). Phase 3, the assembled genomes are vetted by an ID-NGS subject matter expert working group consisting of FDA personnel and collaborators and the data are deposited in NCBI databases.   The FDA-ARGOS genomes meet the quality metrics for reference-grade genomes for regulatory use. FDA-ARGOS reference genomes have been de novo assembled with high depth of base coverage and placed within a pre-established phylogenetic tree. Each microbial isolate in the database is covered at a minimum of 20X over 95 percent of the assembled core genome. Furthermore, sample specific metadata, raw reads, assemblies, annotation and details of the bioinformatics pipeline are available.",collected_by:BEI Resources/American Type and Culture Collection (ATCC),99.1,98.7,,,,Good,2020-07-01T03:49:05.538Z,2020-07-01T03:49:05.538Z
2862,2055.18,Gordonia terrae strain JH63,positive,,2055,Complete,JH63,,,,,,,,2020-01-11T00:00:00Z,,PRJNA597702,SAMN13680426,GCA_009856645.1,,"CP047235,CP047236",,Changwon National University,,PacBio RSII,96.0x,HGAP v. 2.3,1,1,2,5338743,67.85895,4955,4684,Skin,skin,,2017-07,South Korea,South Korea: Changwon,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,cholesterol degradation,sample_type:whole organism,96.7,95.9,,,,Good,2020-02-07T13:50:54.571Z,2020-02-07T13:50:54.571Z
2891,2098.79,Mycoplasma hominis strain 8958,negative,,2098,Complete,8958,,,,,,,,2020-06-23T00:00:00Z,,PRJNA429440,SAMN15042588,GCA_013371665.1,,CP055142,,University Hospital of Dusseldorf,,Nanopore + Illumina,966x,Canu v. 1.6,1,,1,680851,26.995335,588,570,None,,,,,,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,Sequencing and comparison of multiple M. hominis isolates.,,97,96.7,,,,Good,2020-07-02T03:46:20.104Z,2020-07-02T03:46:20.104Z
3130,2104.464,Mycoplasma pneumoniae strain 10-980,negative,,2104,Complete,10-980,,,,,,,,2020-01-29T00:00:00Z,31783732,PRJNA533936,SAMN11472195,GCA_009948395.1,,CP039790,,Chungbuk National University Hospital,,Illumina MiSeq,1x,SPAdes v. 3.13.0,1,,1,816424,40.00997,786,742,Respiratory,nasophraynx,,2010,South Korea,South Korea: Seoul,,,,,,"Human, Homo sapiens",,,Pneumonia,,,,,,,,,,,,,,,,30 Korean Mycoplasma pneumoniae,collected_by:Eun Hwa Choi,99.4,99.3,,,,Good,2020-04-11T21:08:35.725Z,2020-04-11T21:08:35.725Z
3140,2130.41,Ureaplasma urealyticum strain 315,positive,,2130,Complete,315,,,,,,,,2019-07-09T00:00:00Z,,PRJNA513930,SAMN10716289,GCA_006777105.1,,CP039963,,"Sir Run Run Shaw Hospital, Zhejiang University School of Medicine",,Oxford Nanopore GridION,100.0x,Unicycler v. 0.4.7,1,,1,853955,25.740232,679,660,Semen,male semen,,2016-06,China,China,,,,,,"Human, Homo sapiens",,,infertility,,,,,,,,,,,,,,,,A clinical Ureaplasma urealyticum isolated from infertile male,collected_by:Department of Clinical Laboratory Sir Run Run Shaw Hospital Zhejiang University School of Medicine,99.9,99.3,,,,Good,2019-09-30T16:41:20.652Z,2019-09-30T16:41:20.652Z
3221,2702.191,Gardnerella vaginalis strain FDAARGOS_568 strain Not applicable,negative,,2702,Complete,Not applicable,,,,,,FDA:FDAARGOS_568,,2018-11-21T00:00:00Z,,PRJNA231221,SAMN10163192,GCA_003812765.1,,CP033836,,US Food and Drug Administration,,Pacbio; Illumina,29.50x,Canu v. 1.2,1,,1,1716590,41.263084,1435,1415,None,,,,,,,,,,,"Human, Homo sapiens",,,,,,host_description:Not applicable,,,,,,,,,,,,,"In May 2014, the FDA and collaborators established a publicly available dAtabase for Reference Grade micrObial Sequences called FDA-ARGOS. With funding support from FDA’s Office of Counterterrorism and Emerging Threats (OCET) and DoD, the FDA-ARGOS team are initially collecting and sequencing 2000 microbes that include biothreat microorganisms, common clinical pathogens and closely related species. Currently, FDA-ARGOS microbial genomes are generated in 3 phases. Generally:  Phase 1 entails collection of a previously identified microbe and nucleic acid extraction. Phase 2, the microbial nucleic acids are sequenced and de novo assembled using Illumina and PacBio sequencing platforms at the Institute for Genome Sciences at the University of Maryland (UMD-IGS). Phase 3, the assembled genomes are vetted by an ID-NGS subject matter expert working group consisting of FDA personnel and collaborators and the data are deposited in NCBI databases.   The FDA-ARGOS genomes meet the quality metrics for reference-grade genomes for regulatory use. FDA-ARGOS reference genomes have been de novo assembled with high depth of base coverage and placed within a pre-established phylogenetic tree. Each microbial isolate in the database is covered at a minimum of 20X over 95 percent of the assembled core genome. Furthermore, sample specific metadata, raw reads, assemblies, annotation and details of the bioinformatics pipeline are available.",collected_by:USAMRIID,98.7,98.4,,,,Good,2018-11-30T03:08:12.896Z,2018-11-30T03:08:12.896Z
1385,13373.94,Burkholderia mallei strain FDAARGOS_590 strain Not applicable,negative,,13373,Complete,Not applicable,,,,"MLST.Burkholderia_cepacia_complex.734,MLST.Burkholderia_pseudomallei.40",genotype:UNK,FDA:FDAARGOS_590,,2018-12-14T00:00:00Z,,PRJNA231221,SAMN10228570,GCA_003933045.1,,RKJU01000000,,US Food and Drug Administration,,Pacbio; Illumina,37.30x,Canu v. 1.7,2,,2,5864677,68.48184,6265,6174,None,clinical isolate,,,China,China,,,,,,"Human, Homo sapiens",male,,Glanders-melioidosis,,,host_description:Not applicable;host_disease_outcome:fatal,,,,,,,,,,,,,"In May 2014, the FDA and collaborators established a publicly available dAtabase for Reference Grade micrObial Sequences called FDA-ARGOS. With funding support from FDA’s Office of Counterterrorism and Emerging Threats (OCET) and DoD, the FDA-ARGOS team are initially collecting and sequencing 2000 microbes that include biothreat microorganisms, common clinical pathogens and closely related species. Currently, FDA-ARGOS microbial genomes are generated in 3 phases. Generally:  Phase 1 entails collection of a previously identified microbe and nucleic acid extraction. Phase 2, the microbial nucleic acids are sequenced and de novo assembled using Illumina and PacBio sequencing platforms at the Institute for Genome Sciences at the University of Maryland (UMD-IGS). Phase 3, the assembled genomes are vetted by an ID-NGS subject matter expert working group consisting of FDA personnel and collaborators and the data are deposited in NCBI databases.   The FDA-ARGOS genomes meet the quality metrics for reference-grade genomes for regulatory use. FDA-ARGOS reference genomes have been de novo assembled with high depth of base coverage and placed within a pre-established phylogenetic tree. Each microbial isolate in the database is covered at a minimum of 20X over 95 percent of the assembled core genome. Furthermore, sample specific metadata, raw reads, assemblies, annotation and details of the bioinformatics pipeline are available.",collected_by:USAMRIID,99.7,98,,,,Good,2019-01-31T06:15:40.498Z,2019-01-31T06:15:40.498Z
3248,28035.9,Staphylococcus lugdunensis strain FDAARGOS_143,positive,,28035,Complete,FDAARGOS_143,,,,MLST.Staphylococcus_lugdunensis.26,,FDA:FDAARGOS_143,,2016-02-11T00:00:00Z,,PRJNA231221,SAMN03996287,GCA_001558815.1,"SRR2820656,SRR2820657",CP014023,NZ_CP014023.1,US Food and Drug Administration,,Pacbio,21.54x,Celera v. 8.2,1,,1,2613826,33.95,2476,2373,Abscess,Abscess,,3/12/14,USA,USA:DC,,,,,,"Human, Homo sapiens",male,16Y,Abscess,,,,,,,,,,,,,,,,"FDA, in collaboration with the National Center for Biotechnology Information (NCBI), the Department of Defense (DoD) and the Institute for Genome Sciences at the University of Maryland, established a publicly available, well-curated reference database (FDA-ARGOS: dAtabase for Regulatory Grade micrObial Sequences; BioProject 231221) of regulatory-grade-quality sequences from diverse infectious microorganisms. This database, which is still growing, comprises data collected from multiple collaborators. Diagnostic test manufacturers develop sequence-based tests to identify infectious agents and/or to detect resistance or virulence markers; will use this database to advance their development programs and to support the regulatory science review of such tests. This work will facilitate the development of these tests, which are aimed at improving patient outcomes. Continued success of the database and adoption by the community is contingent on populating and curating the database, which in turn will support development of guidance and standards for clinical use of this technology. Discussions held at a relating public workshop on advancing regulatory science for high throughput sequencing devices for microbial identification and detection of antimicrobial resistance markers were essential to establish the safety and effectiveness of these devices.",collected_by:Children's National Hospital,98.8,98,97.8,,,Good,2016-03-01T20:01:02.118Z,2016-03-01T20:01:02.118Z
3253,28037.232,Streptococcus mitis strain SVGS_061,positive,,28037,Complete,SVGS_061,serovar GS_061,,,,,,,2016-02-12T00:00:00Z,,PRJNA311086,SAMN04461788,GCF_001560895.1,,CP014326,NZ_CP014326.1,MD Anderson,,PacBio/Illumina,151x,HGAP/HybridSpades/Seqman NGen v.,1,,1,2167922,39.97,2007,1954,Blood,blood,,14-Dec-11,USA,"USA: Houston, Texas, MD Anderson Cancer Center",,,,,,"Human, Homo sapiens",male,25,viridans group streptococcal shock syndrome,,,host_description:Neutropenic Cancer Patient (AML);host_health_state:neutropenic,,,,,,,,C,,,,viridans group streptococcal shock syndrome,"While typically a commensal, Streptococcus mitis is frequently the cause causes invasive infections inn compromised individuals. The strain reported (SVGS_061) caused VGS shock syndrome in a neutropenic cancer patient. The investigation of this strain may aid in determining the cause of pathogeneisis of invasions caused by Streptococcus mitis.",collected_by:MD Anderson Cancer Center,99.9,99.4,100,0.3,,Good,2016-03-01T20:25:33.232Z,2016-03-01T20:25:33.232Z
3256,28080.85,Campylobacter upsaliensis strain FDAARGOS_736,negative,,28080,Complete,FDAARGOS_736,,,,,,FDA:FDAARGOS_736,,2020-08-05T00:00:00Z,,PRJNA231221,SAMN11056451,GCA_014068875.1,,"CP059682,CP059683",,US Food and Drug Administration,,Pacbio; Illumina,1908.97x,"SMRT v. 2.3.0, HGAP v. 3",1,1,2,1650243,34.83486,1716,1668,Gut,gastrointestinal tract,,,USA,USA:VA,,,,,,"Human, Homo sapiens",,,,,,host_description:Not applicable,,,,,,,,,,,,,"In May 2014, the FDA and collaborators established a publicly available dAtabase for Reference Grade micrObial Sequences called FDA-ARGOS. With funding support from FDA’s Office of Counterterrorism and Emerging Threats (OCET) and DoD, the FDA-ARGOS team are initially collecting and sequencing 2000 microbes that include biothreat microorganisms, common clinical pathogens and closely related species. Currently, FDA-ARGOS microbial genomes are generated in 3 phases. Generally:  Phase 1 entails collection of a previously identified microbe and nucleic acid extraction. Phase 2, the microbial nucleic acids are sequenced and de novo assembled using Illumina and PacBio sequencing platforms at the Institute for Genome Sciences at the University of Maryland (UMD-IGS). Phase 3, the assembled genomes are vetted by an ID-NGS subject matter expert working group consisting of FDA personnel and collaborators and the data are deposited in NCBI databases.   The FDA-ARGOS genomes meet the quality metrics for reference-grade genomes for regulatory use. FDA-ARGOS reference genomes have been de novo assembled with high depth of base coverage and placed within a pre-established phylogenetic tree. Each microbial isolate in the database is covered at a minimum of 20X over 95 percent of the assembled core genome. Furthermore, sample specific metadata, raw reads, assemblies, annotation and details of the bioinformatics pipeline are available.",collected_by:BEI Resources/American Type and Culture Collection (ATCC),99,98.7,,,,Good,2020-08-22T09:14:49.862Z,2020-08-22T09:14:49.862Z
3259,28090.112,Acinetobacter lwoffii strain FDAARGOS_557,negative,,28090,Complete,FDAARGOS_557,,,,,,FDA:FDAARGOS_557,,2020-06-17T00:00:00Z,,PRJNA231221,SAMN10163181,GCA_013349205.1,,"CP054803,CP054806,CP054805,CP054804",,US Food and Drug Administration,,Pacbio; Illumina,1326.92x,"SMRT v. 2.3.0, HGAP v. 3",1,3,4,3767090,42.87972,3814,3552,None,clinical isolate,,,USA,USA:MN,,,,,,"Human, Homo sapiens",not applicable,,,,,host_disease_outcome:Not applicable;host_health_state:Not applicable;host_description:Not applicable;host_disease_stage:Not applicable,,,,,,,,,,,,,"In May 2014, the FDA and collaborators established a publicly available dAtabase for Reference Grade micrObial Sequences called FDA-ARGOS. With funding support from FDA’s Office of Counterterrorism and Emerging Threats (OCET) and DoD, the FDA-ARGOS team are initially collecting and sequencing 2000 microbes that include biothreat microorganisms, common clinical pathogens and closely related species. Currently, FDA-ARGOS microbial genomes are generated in 3 phases. Generally:  Phase 1 entails collection of a previously identified microbe and nucleic acid extraction. Phase 2, the microbial nucleic acids are sequenced and de novo assembled using Illumina and PacBio sequencing platforms at the Institute for Genome Sciences at the University of Maryland (UMD-IGS). Phase 3, the assembled genomes are vetted by an ID-NGS subject matter expert working group consisting of FDA personnel and collaborators and the data are deposited in NCBI databases.   The FDA-ARGOS genomes meet the quality metrics for reference-grade genomes for regulatory use. FDA-ARGOS reference genomes have been de novo assembled with high depth of base coverage and placed within a pre-established phylogenetic tree. Each microbial isolate in the database is covered at a minimum of 20X over 95 percent of the assembled core genome. Furthermore, sample specific metadata, raw reads, assemblies, annotation and details of the bioinformatics pipeline are available.",collected_by:Mayo Clinic,97,95,,,,Good,2020-07-01T17:50:09.662Z,2020-07-01T17:50:09.662Z
3260,28091.9,Neisseria weaveri strain NCTC12742,negative,,28091,Complete,NCTC12742,not available: to be reported later,,,,,NCTC:12742,,2018-12-19T00:00:00Z,,PRJEB6403,SAMEA104338429,GCA_900638685.1,,LR134533,,SC,,,,,1,,1,2238481,49.0882,2295,2020,Wound,wound,,1974,Sweden,Sweden: Gothenberg,,,,,,"Human, Homo sapiens",,,,,,host_health_state:not available: to be reported later,,,,,,,,,,,,,http://www.sanger.ac.uk/resources/downloads/bacteria/nctc/,,97.7,97.3,,,,Good,2019-02-01T14:22:36.880Z,2019-02-01T14:22:36.880Z
3274,28116.7,Bacteroides ovatus strain ATCC 8483,negative,,28116,Complete,ATCC 8483,,,,,,ATCC:8483,,2015-10-15T00:00:00Z,26430127,PRJNA289334,SAMN03852683,GCA_001314995.1,"SRR2637631,SRR2637689,SRR2641383",CP012938,NZ_CP012938.1,Washington University in St. Louis,,PacBio; Illumina MiSeq,350X,HGAP 2.0 and Celera v. AUG-2014,1,,1,6472489,41.88,5084,4910,Stool,feces,,11-Oct-09,USA,USA:Woods Hole,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"Three Bacteroides species has been mono-cultured. DNA was extracted and sequenced with Pacbio and Illumina, and assembled.",sample_type:cell culture,99.6,99.2,98.7,,,Good,2016-01-17T17:15:28.903Z,2016-01-17T17:15:28.903Z
3275,28118.6,Odoribacter splanchnicus strain NCTC10825,negative,,28118,Complete,NCTC10825,,,,,,NCTC:10825,,2017-08-15T00:00:00Z,,PRJEB6403,SAMEA44545918,GCA_900187175.1,,LT906459,,SC,,,,,1,,1,4392177,43.36,3994,3684,Abdomen,Abdominal abscess,,1968,,,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,http://www.sanger.ac.uk/resources/downloads/bacteria/nctc/,,99.8,99.6,100,0.4,,Good,2017-09-29T14:28:14.734Z,2017-09-29T14:28:14.734Z
3280,28129.6,Prevotella denticola strain F0105,negative,,28129,Complete,F0105,,,,,,,,2021-04-28T00:00:00Z,,PRJNA282954,SAMN18352179,GCA_018141825.1,,CP073339,,The Forsyth Institute,,PacBio Sequel,348x,Pacbio MA v. 9.0.0.92188,1,,1,3027740,49.960926,2856,2372,Mouth,human oral cavity,,1988-10,USA,"USA: Blacksberg, Virginia",,,634 m,,,Homo sapiens,male,14,,,,,,,,,,,,C,,,,,Forsyth oral bacterial genomes isolated in pure culture from human oral samples,"sample_type:whole organism;biomaterial_provider:Floyd E. Dewhirst, The Forsyth Institute, 245 First Street, Cambridge, Massachusetts, 02165;collected_by:Moores, Virginia Polytechnic Institute",98.2,97.6,,,,Good,2021-06-02T17:45:06.131Z,2021-06-02T17:45:06.131Z
3292,28131.7,Prevotella intermedia strain strain 17,negative,,28131,Complete,17,,,,,,ATCC 25611,Yes,2017-01-18T00:00:00Z,,PRJNA313956,SAMN04529095,GCF_001953935.1,,"CP019302,CP019303","NZ_CP019302.1,NZ_CP019303.1",The Forsyth Institute,,PacBio,200.0x,Celera Assembler v. June 2016; HGAP v.,2,,2,2736315,43.45,2745,2385,Mouth,periodontal pocket,,1992,Japan,Japan,,,,,,"Human, Homo sapiens",,,periodontal disease,,,,,,,,,,,C,,,,,Re-sequencing of the Prevotella intermedia type strain ATCC25611 and clinical isolate Prevotella intermedia strain-17 (January 2016) using using a PacBio RS II system (Pacific Biosciences) on a single-molecule real-time (SMRT) cell using PacBio P6-C4 chemistry.,"collected_by:Fukushima, H, Moroi H, Inoue J, Onoe T, Ezaki T, Yabuuchi E, Leung KP, Walker CB, Clark WB, Sagawa H.",98.4,97.9,100,,,Good,2017-03-20T05:03:11.160Z,2017-03-20T05:03:11.160Z
3303,28132.5,Prevotella melaninogenica strain GAI 07411,negative,,28132,Complete,GAI 07411,,,,,,,,2017-09-01T00:00:00Z,,PRJDB5703,SAMD00078755,GCA_003609775.1,,"AP018049,AP018050,AP018051",,"Department of Pediatric Dentistry, Nagasaki University Graduate School of Biomedical Sciences",,PacBio RSII,246x,HGAP v. 3,2,1,3,3090326,40.773464,2520,2410,Vagina,vagina,isolated from not only periodontal pockets but also purulent infections,,Japan,Japan,,,,,,"Human, Homo sapiens",female,,,,,,,,,,,,,,,,,,"Prevotella melaninogenica is frequently isolated from not only periodontal pockets but also purulent infections. Similar to all species of the genus Prevotella, it is strictly anaerobic, gram-negative bacterium with non-spore forming coccobacilli. We used to the generation sequencing technique (PacBio RS II) to sequence the whole genome of Prevotella melaninogenica GAI 07411 isolated from the vagina. A number of potent virulence factors possessed by bacteria belonging to phylum Bacteroidetes were suggested by analyzing the genomic information. Therefore, the genomic information is indispensable to evaluate the pathogenicity and host interactions. This genomic information may provide insight into the functional activity of this strain.","biomaterial_provider:Life science Research Center, Gifu University",98.6,97.9,,,,Good,2018-11-28T19:42:18.486Z,2018-11-28T19:42:18.486Z
3305,28133.9,Prevotella nigrescens strain F0630,negative,,28133,Complete,F0630,,,,,,,,2021-04-22T00:00:00Z,,PRJNA282954,SAMN18352192,GCA_018127845.1,,"CP072335,CP072336",,The Forsyth Institute,,PacBio Sequel,168x,Pacbio MA v. 9.0.0.92188,2,,2,2928207,42.697666,2814,2394,Mouth,human oral cavity,,5/7/15,USA,"USA: Cambridge, Massachusetts",,,12 m,,,Homo sapiens,male,48,,,,,,,,,,,,C,,,,,Forsyth oral bacterial genomes isolated in pure culture from human oral samples,"sample_type:whole organism;biomaterial_provider:Floyd E. Dewhirst, The Forsyth Institute, 245 First Street, Cambridge, Massachusetts, 02185;collected_by:Pallavi Murugkar, Forsyth Institute",98,97.5,,,,Good,2021-06-02T17:19:33.397Z,2021-06-02T17:19:33.397Z
3306,28135.5,Prevotella oris strain NCTC13071,negative,,28135,Complete,NCTC13071,not available: to be reported later,,,,,NCTC:13071,,2018-12-19T00:00:00Z,,PRJEB6403,SAMEA4535752,GCA_900637655.1,,LR134384,,SC,,,,,1,,1,3168212,43.97916,2957,2703,Mouth,Gingival sulcus,,1900/1982,,,,,,,,"Human, Homo sapiens",,,,,,host_health_state:not available: to be reported later,,,,,,,,,,,,,http://www.sanger.ac.uk/resources/downloads/bacteria/nctc/,,98.7,97.9,,,,Good,2019-02-01T14:01:17.468Z,2019-02-01T14:01:17.468Z
3307,28137.14,Prevotella veroralis strain F0319,negative,,28137,Complete,F0319,,,,,,,,2021-04-22T00:00:00Z,,PRJNA282954,SAMN18352189,GCA_018127765.1,,"CP072330,CP072331,CP072332",,The Forsyth Institute,,PacBio Sequel,377x,Pacbio MA v. 9.0.0.92188,2,1,3,2990547,41.92387,2755,2384,Mouth,human oral cavity,,1985-09,USA,"USA: Blacksberg, Virginia",,,634 m,,,Homo sapiens,male,11,,,,,,,,,,,,C,,,,,Forsyth oral bacterial genomes isolated in pure culture from human oral samples,"sample_type:whole organism;biomaterial_provider:Floyd E. Dewhirst, The Forsyth Institute, 245 First Street, Cambridge, Massachusetts, 02188;collected_by:Moores, Virginia Polytechnic Institute",98.3,97.6,,,,Good,2021-04-26T00:37:32.049Z,2021-04-26T00:37:32.049Z
3308,28152.31,Yersinia kristensenii strain ATCC BAA-2637,negative,,28152,Complete,ATCC BAA-2637,,,,MLST.Yersinia_spp.84,,ATCC: BAA-2637,,2018-09-27T00:00:00Z,,PRJNA484516,SAMN09765716,GCA_003600645.1,,"CP032482,CP032483,CP032484",,Mayo Clinic,,Illumina MiSeq,200.0x,SPAdes v. JAN-2014,1,2,3,4448883,47.492855,4249,3996,Stool,feces,,11-Jan,USA,"USA: Rochester, MN",,,,,,"Human, Homo sapiens",,,diarrhea,,,,Susceptible;Intermediate,AMR Panel,,,,,,,,,,,Whole genome sequencing of Yersinia kristensenii EPLC-04,collected_by:Mayo Clinic,99.8,99,,,,Good,2018-11-28T18:35:59.012Z,2018-11-28T18:35:59.012Z
3314,28188.26,Capnocytophaga canimorsus strain NCTC11921,negative,,28188,Complete,NCTC11921,not available: to be reported later,,,,,NCTC:11921,,2018-12-19T00:00:00Z,,PRJEB6403,SAMEA104210801,GCA_900638435.1,,LR134513,,SC,,,,,1,,1,2528270,36.11173,2415,2220,Blood,blood,,1900/1986,,,,,,,,"Human, Homo sapiens",,,,,,host_health_state:disease,,,,,,,,,,,,,http://www.sanger.ac.uk/resources/downloads/bacteria/nctc/,,98.2,98,,,,Good,2019-02-01T14:17:23.662Z,2019-02-01T14:17:23.662Z
3315,28189.7,Capnocytophaga cynodegmi strain G7591,negative,,28189,Complete,G7591,,,,,,,,2017-09-14T00:00:00Z,,PRJNA369395,SAMN06754876,GCA_002302475.1,,CP022378,,Centers for Disease Control and Prevention,,PacBio; Illumina MiSeq,422.2x,Canu v. 1.4,1,,1,2640475,34.26,2396,2271,None,,,15-Jun-92,USA,USA: California,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,select isolates within the Capnocytophaga genus were biochemically characterized and sequenced for taxonomic evaluations,sample_type:cell culture,99.3,99.1,100,,,Good,2017-09-28T23:31:02.059Z,2017-09-28T23:31:02.059Z
3332,28449.59,Neisseria subflava strain M18660,negative,,28449,Complete,M18660,,,,,,,,2018-08-01T00:00:00Z,,PRJNA428178,SAMN09704641,GCA_003351665.1,,CP031251,,Centers for Disease Control and Prevention,,PacBio,107.0048358x,HGAP v. 3,1,,1,2321871,48.984116,2286,,None,,,,,,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,Assemblies for pathogens that are known to cause bacterial meningitis and other closely related species,collected_by:Centers for Disease Control and Prevention,99,97.9,100,0.7,,Good,2018-09-30T04:03:36.071Z,2018-09-30T04:03:36.071Z
